Date,44469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Veterans,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,< 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Grand Total,,,,,,,,,,,,,,
,New Hampshire,44,1142,2760,4029,4270,4272,5014,7225,9500,10814,9372,12233,12315,6918,7365,4.2%,37.6%,,New Hampshire,4.2%,,New Hampshire,37.6%,,,,,,
,New Jersey,144,4161,9226,13326,15843,16764,16250,21540,28896,31576,26862,39064,42856,24436,38015,4.3%,47.1%,,New Jersey,4.3%,,New Jersey,47.1%,,,,,,
,New Mexico,60,1800,4406,6275,7482,8590,8398,11272,13092,15120,15283,19235,17599,8374,11390,4.4%,33.7%,,New Mexico,4.4%,,New Mexico,33.7%,,,,,,
,New York,319,8882,19975,29311,35826,37257,36257,50637,67036,71639,62143,87734,84372,49155,73563,4.3%,40.8%,,New York,4.3%,,New York,40.8%,,,,,,
,North Carolina,318,11878,26559,36401,39065,39767,44210,58537,64239,67315,63859,84790,68845,37798,44679,6.0%,28.2%,,North Carolina,6.0%,,North Carolina,28.2%,,,,,,
,North Dakota,41,959,2087,3351,3724,3653,3400,4561,4664,4561,4600,6853,4116,1787,4248,6.2%,23.9%,,North Dakota,6.2%,,North Dakota,23.9%,,,,,,
,Ohio,395,10201,20955,30856,35763,35967,39985,60889,71867,73730,68734,96015,77624,47650,55360,4.5%,33.1%,,Ohio,4.5%,,Ohio,33.1%,,,,,,
,Oklahoma,163,4418,10018,15863,19065,19445,19184,23806,24041,25487,27514,34551,31582,14933,20193,5.3%,29.8%,,Oklahoma,5.3%,,Oklahoma,29.8%,,,,,,
,Oregon,129,3247,7409,12275,14936,14800,15587,21760,24875,26461,29394,39964,34990,21570,22639,3.9%,37.6%,,Oregon,3.9%,,Oregon,37.6%,,,,,,
,Pennsylvania,381,8828,18826,29062,34929,36538,39181,57542,71813,73031,67205,109403,88159,63244,72666,3.8%,41.0%,,Pennsylvania,3.8%,,Pennsylvania,41.0%,,,,,,
,Rhode Island,38,763,1712,2898,3112,3211,3263,4183,5732,6335,5028,6963,8665,3535,5070,4.3%,39.9%,,Rhode Island,4.3%,,Rhode Island,39.9%,,,,,,
,South Carolina,253,6123,12995,19228,20701,22431,24437,32711,37073,39008,35702,52769,43070,22695,24596,5.2%,29.8%,,South Carolina,5.2%,,South Carolina,29.8%,,,,,,
,South Dakota,47,963,1961,3022,3789,3983,3835,5410,5934,6132,5936,8833,5317,3391,5398,4.9%,28.3%,,South Dakota,4.9%,,South Dakota,28.3%,,,,,,
,Tennessee,261,6552,14101,21639,23121,23868,26348,38480,43304,45248,43693,57869,46501,29089,29188,4.9%,30.4%,,Tennessee,4.9%,,Tennessee,30.4%,,,,,,
,Texas,811,24441,58279,91263,111324,115766,115266,144069,135548,138601,141949,170874,144135,79212,91021,5.6%,25.2%,,Texas,5.6%,,Texas,25.2%,,,,,,
,Utah,85,1960,4740,7677,8991,9313,8615,10060,10642,10717,11404,15827,13082,8933,10076,5.4%,32.1%,,Utah,5.4%,,Utah,32.1%,,,,,,
,Vermont,18,440,1008,1619,1791,1795,2174,3139,4291,4799,4281,5409,4380,3125,2951,3.7%,34.0%,,Vermont,3.7%,,Vermont,34.0%,,,,,,
,Virginia,266,10148,28960,42751,48532,53534,54851,67032,72927,72396,62883,69748,56644,32380,40293,5.8%,22.1%,,Virginia,5.8%,,Virginia,22.1%,,,,,,
,Washington,161,6891,19221,29390,33498,34196,34095,45335,50476,52180,55014,62381,60929,29466,33659,5.0%,29.3%,,Washington,5.0%,,Washington,29.3%,,,,,,
,West Virginia,69,1527,3196,5221,6383,7482,8681,11568,12581,12083,12601,22587,12221,9103,10822,3.6%,30.9%,,West Virginia,3.6%,,West Virginia,30.9%,,,,,,
,Wisconsin,205,4472,8863,13725,16435,15258,16534,26599,32333,32104,32110,50054,38486,23524,32122,4.1%,37.9%,,Wisconsin,4.1%,,Wisconsin,37.9%,,,,,,
,Wyoming,26,679,1420,2338,2705,2914,2846,3801,3872,3893,4430,7304,5668,2676,2270,4.8%,29.3%,,Wyoming,4.8%,,Wyoming,29.3%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
