Date,Age Groups,Gender,Veterans
9/30/2022  12:00:00 AMale,85+,Female,49241.41214
9/30/2022  12:00:00 AMale,85+,Male,1386109.433
9/30/2022  12:00:00 AMale,< 20,Female,2567.96221
9/30/2022  12:00:00 AMale,< 20,Male,6876.148001
9/30/2023  12:00:00 AMale,20-24,Female,52012.19962
9/30/2023  12:00:00 AMale,20-24,Male,213673.9854
9/30/2023  12:00:00 AMale,25-29,Female,118367.5707
9/30/2023  12:00:00 AMale,25-29,Male,493365.9834
9/30/2023  12:00:00 AMale,30-34,Female,159653.5617
9/30/2023  12:00:00 AMale,30-34,Male,691324.79
9/30/2023  12:00:00 AMale,35-39,Female,191388.6585
9/30/2023  12:00:00 AMale,35-39,Male,841268.0255
9/30/2023  12:00:00 AMale,40-44,Female,220320.6716
9/30/2023  12:00:00 AMale,40-44,Male,935980.2224
9/30/2023  12:00:00 AMale,45-49,Female,194259.5446
9/30/2023  12:00:00 AMale,45-49,Male,901064.0727
9/30/2023  12:00:00 AMale,50-54,Female,205341.0445
9/30/2023  12:00:00 AMale,50-54,Male,1191519.147
9/30/2023  12:00:00 AMale,55-59,Female,213123.5687
9/30/2023  12:00:00 AMale,55-59,Male,1413716.733
9/30/2023  12:00:00 AMale,60-64,Female,238266.4534
9/30/2023  12:00:00 AMale,60-64,Male,1574503.068
9/30/2023  12:00:00 AMale,65-69,Female,192367.3698
9/30/2023  12:00:00 AMale,65-69,Male,1550145.502
9/30/2023  12:00:00 AMale,70-74,Female,124187.9059
9/30/2023  12:00:00 AMale,70-74,Male,1693907.552
9/30/2023  12:00:00 AMale,75-79,Female,71925.66244
9/30/2023  12:00:00 AMale,75-79,Male,2263744.467
9/30/2023  12:00:00 AMale,80-84,Female,41360.851
9/30/2023  12:00:00 AMale,80-84,Male,1240510.187
9/30/2023  12:00:00 AMale,85+,Female,48899.06114
9/30/2023  12:00:00 AMale,85+,Male,1347967.013
9/30/2023  12:00:00 AMale,< 20,Female,2533.316788
9/30/2023  12:00:00 AMale,< 20,Male,6782.262727
9/30/2024  12:00:00 AMale,20-24,Female,51620.47644
9/30/2024  12:00:00 AMale,20-24,Male,213386.3633
9/30/2024  12:00:00 AMale,25-29,Female,119410.98
9/30/2024  12:00:00 AMale,25-29,Male,497129.5232
9/30/2024  12:00:00 AMale,30-34,Female,151463.0898
9/30/2024  12:00:00 AMale,30-34,Male,655588.8774
9/30/2024  12:00:00 AMale,35-39,Female,188919.3543
9/30/2024  12:00:00 AMale,35-39,Male,830449.1947
9/30/2024  12:00:00 AMale,40-44,Female,220247.7336
9/30/2024  12:00:00 AMale,40-44,Male,942309.6449
9/30/2024  12:00:00 AMale,45-49,Female,199678.4636
9/30/2024  12:00:00 AMale,45-49,Male,896033.0981
9/30/2024  12:00:00 AMale,50-54,Female,199546.6758
9/30/2024  12:00:00 AMale,50-54,Male,1112422.517
