Date,Age Groups,Gender,State,Veterans
9/30/2021,30-34,Female,Massachusetts,1879.789609
9/30/2021,30-34,Female,Michigan,3507.664362
9/30/2021,30-34,Female,Minnesota,2095.263315
9/30/2021,30-34,Female,Mississippi,2034.032422
9/30/2021,30-34,Female,Missouri,2996.66375
9/30/2021,30-34,Female,Montana,749.7576942
9/30/2021,30-34,Female,Nebraska,1188.401373
9/30/2021,30-34,Female,Nevada,2234.313997
9/30/2021,30-34,Female,New Hampshire,595.2856212
9/30/2021,30-34,Female,New Jersey,2337.238444
9/30/2021,30-34,Female,New Mexico,1171.688578
9/30/2021,30-34,Female,New York,4988.523271
9/30/2021,30-34,Female,North Carolina,7435.974467
9/30/2021,30-34,Female,North Dakota,576.6955309
9/30/2021,30-34,Female,Ohio,5178.964508
9/30/2021,30-34,Female,Oklahoma,2839.358103
9/30/2021,30-34,Female,Oregon,1902.110664
9/30/2021,30-34,Female,Pennsylvania,4840.993084
9/30/2021,30-34,Female,Puerto Rico,324.0834085
9/30/2021,30-34,Female,Rhode Island,532.6933469
9/30/2021,30-34,Female,South Carolina,4217.918372
9/30/2021,30-34,Female,South Dakota,557.8809131
9/30/2021,30-34,Female,Tennessee,3924.008603
9/30/2021,30-34,Female,Texas,18266.50704
9/30/2021,30-34,Female,Utah,1136.74249
9/30/2021,30-34,Female,Vermont,244.0476334
9/30/2021,30-34,Female,Virginia,9990.113925
9/30/2021,30-34,Female,Washington,5312.234377
9/30/2021,30-34,Female,West Virginia,751.6157658
9/30/2021,30-34,Female,Wisconsin,2384.224294
9/30/2021,30-34,Female,Wyoming,455.4896248
9/30/2021,30-34,Male,Alabama,13122.77359
9/30/2021,30-34,Male,Alaska,4226.893393
9/30/2021,30-34,Male,Arizona,18884.18595
9/30/2021,30-34,Male,Arkansas,8432.232886
9/30/2021,30-34,Male,California,74379.70205
9/30/2021,30-34,Male,Colorado,19532.31553
9/30/2021,30-34,Male,Connecticut,5498.776571
