State,Congressional District (CD),Gender,Age Group,Date,Veteran
California,CD 18,Female,Under 65,9/30/2021,1273.372038
California,CD 18,Male,65 and Over,9/30/2021,13300.85865
California,CD 18,Male,Under 65,9/30/2021,8694.61525
California,CD 19,Female,65 and Over,9/30/2021,754.3975554
California,CD 19,Female,Under 65,9/30/2021,1560.346625
California,CD 19,Male,65 and Over,9/30/2021,8889.739975
California,CD 19,Male,Under 65,9/30/2021,11135.81087
California,CD 2,Female,65 and Over,9/30/2021,1290.434262
California,CD 2,Female,Under 65,9/30/2021,1859.714411
California,CD 2,Male,65 and Over,9/30/2021,21859.65058
California,CD 2,Male,Under 65,9/30/2021,11405.51657
California,CD 20,Female,65 and Over,9/30/2021,415.3389491
California,CD 20,Female,Under 65,9/30/2021,2473.118974
California,CD 20,Male,65 and Over,9/30/2021,14099.23369
California,CD 20,Male,Under 65,9/30/2021,12244.55463
California,CD 21,Female,65 and Over,9/30/2021,400.979989
California,CD 21,Female,Under 65,9/30/2021,1648.812138
California,CD 21,Male,65 and Over,9/30/2021,7141.924912
California,CD 21,Male,Under 65,9/30/2021,10234.62968
California,CD 22,Female,65 and Over,9/30/2021,721.3865413
California,CD 22,Female,Under 65,9/30/2021,2689.080123
California,CD 22,Male,65 and Over,9/30/2021,13465.35934
California,CD 22,Male,Under 65,9/30/2021,15353.08846
California,CD 23,Female,65 and Over,9/30/2021,1162.499385
California,CD 23,Female,Under 65,9/30/2021,3301.145456
California,CD 23,Male,65 and Over,9/30/2021,16363.44031
California,CD 23,Male,Under 65,9/30/2021,20414.63647
California,CD 24,Female,65 and Over,9/30/2021,927.5550488
California,CD 24,Female,Under 65,9/30/2021,2348.958432
California,CD 24,Male,65 and Over,9/30/2021,19838.19077
California,CD 24,Male,Under 65,9/30/2021,13913.78531
California,CD 25,Female,65 and Over,9/30/2021,597.3594548
California,CD 25,Female,Under 65,9/30/2021,2145.56731
California,CD 25,Male,65 and Over,9/30/2021,11728.1376
California,CD 25,Male,Under 65,9/30/2021,16031.91891
California,CD 26,Female,65 and Over,9/30/2021,783.2857761
California,CD 26,Female,Under 65,9/30/2021,2290.093106
California,CD 26,Male,65 and Over,9/30/2021,17399.60508
California,CD 26,Male,Under 65,9/30/2021,13097.30839
California,CD 27,Female,65 and Over,9/30/2021,405.9685886
California,CD 27,Female,Under 65,9/30/2021,1028.002994
California,CD 27,Male,65 and Over,9/30/2021,11279.33475
California,CD 27,Male,Under 65,9/30/2021,8023.969241
California,CD 28,Female,65 and Over,9/30/2021,316.5093955
California,CD 28,Female,Under 65,9/30/2021,1124.304489
California,CD 28,Male,65 and Over,9/30/2021,8079.206558
California,CD 28,Male,Under 65,9/30/2021,7005.348215
California,CD 29,Female,65 and Over,9/30/2021,325.0324006
California,CD 29,Female,Under 65,9/30/2021,1518.313893
California,CD 29,Male,65 and Over,9/30/2021,5246.621515
California,CD 29,Male,Under 65,9/30/2021,7633.925251
California,CD 3,Female,65 and Over,9/30/2021,1550.810425
California,CD 3,Female,Under 65,9/30/2021,5318.54881
California,CD 3,Male,65 and Over,9/30/2021,17831.15058
California,CD 3,Male,Under 65,9/30/2021,22126.53937
California,CD 30,Female,65 and Over,9/30/2021,347.9630796
California,CD 30,Female,Under 65,9/30/2021,1181.637243
California,CD 30,Male,65 and Over,9/30/2021,11908.72954
California,CD 30,Male,Under 65,9/30/2021,9309.477096
California,CD 31,Female,65 and Over,9/30/2021,541.8253123
California,CD 31,Female,Under 65,9/30/2021,2380.518276
California,CD 31,Male,65 and Over,9/30/2021,11421.12464
California,CD 31,Male,Under 65,9/30/2021,14422.38142
California,CD 32,Female,65 and Over,9/30/2021,295.3528028
California,CD 32,Female,Under 65,9/30/2021,1025.900094
California,CD 32,Male,65 and Over,9/30/2021,8196.446488
California,CD 32,Male,Under 65,9/30/2021,9775.264759
California,CD 33,Female,65 and Over,9/30/2021,626.1581893
California,CD 33,Female,Under 65,9/30/2021,1585.369611
California,CD 33,Male,65 and Over,9/30/2021,15188.35808
California,CD 33,Male,Under 65,9/30/2021,8147.844759
California,CD 34,Female,65 and Over,9/30/2021,236.3492378
California,CD 34,Female,Under 65,9/30/2021,858.1311962
California,CD 34,Male,65 and Over,9/30/2021,3761.359479
California,CD 34,Male,Under 65,9/30/2021,7550.937002
California,CD 35,Female,65 and Over,9/30/2021,260.1434397
California,CD 35,Female,Under 65,9/30/2021,1343.268725
California,CD 35,Male,65 and Over,9/30/2021,7463.486988
California,CD 35,Male,Under 65,9/30/2021,11016.27318
California,CD 36,Female,65 and Over,9/30/2021,1708.158241
California,CD 36,Female,Under 65,9/30/2021,1843.347873
California,CD 36,Male,65 and Over,9/30/2021,26918.50808
California,CD 36,Male,Under 65,9/30/2021,12426.59328
California,CD 37,Female,65 and Over,9/30/2021,446.2527257
California,CD 37,Female,Under 65,9/30/2021,1186.051531
California,CD 37,Male,65 and Over,9/30/2021,8497.039032
California,CD 37,Male,Under 65,9/30/2021,7566.685959
California,CD 38,Female,65 and Over,9/30/2021,319.9320948
California,CD 38,Female,Under 65,9/30/2021,1102.716905
California,CD 38,Male,65 and Over,9/30/2021,10506.90668
California,CD 38,Male,Under 65,9/30/2021,9898.765735
California,CD 39,Female,65 and Over,9/30/2021,445.1912813
California,CD 39,Female,Under 65,9/30/2021,1163.327211
California,CD 39,Male,65 and Over,9/30/2021,12696.32735
California,CD 39,Male,Under 65,9/30/2021,11365.36911
California,CD 4,Female,65 and Over,9/30/2021,823.307334
California,CD 4,Female,Under 65,9/30/2021,3038.773736
California,CD 4,Male,65 and Over,9/30/2021,31884.81201
California,CD 4,Male,Under 65,9/30/2021,17796.19211
California,CD 40,Female,65 and Over,9/30/2021,186.311165
California,CD 40,Female,Under 65,9/30/2021,699.4944307
California,CD 40,Male,65 and Over,9/30/2021,3037.78514
California,CD 40,Male,Under 65,9/30/2021,4157.258705
California,CD 41,Female,65 and Over,9/30/2021,724.4999584
California,CD 41,Female,Under 65,9/30/2021,2178.829399
California,CD 41,Male,65 and Over,9/30/2021,9711.505566
California,CD 41,Male,Under 65,9/30/2021,12392.61219
California,CD 42,Female,65 and Over,9/30/2021,854.0507133
California,CD 42,Female,Under 65,9/30/2021,3698.332263
California,CD 42,Male,65 and Over,9/30/2021,15036.55557
California,CD 42,Male,Under 65,9/30/2021,22171.33298
California,CD 43,Female,65 and Over,9/30/2021,557.8458789
California,CD 43,Female,Under 65,9/30/2021,1773.229527
California,CD 43,Male,65 and Over,9/30/2021,9377.870554
California,CD 43,Male,Under 65,9/30/2021,10781.89863
California,CD 44,Female,65 and Over,9/30/2021,358.2436201
California,CD 44,Female,Under 65,9/30/2021,1367.612865
California,CD 44,Male,65 and Over,9/30/2021,5601.744399
California,CD 44,Male,Under 65,9/30/2021,8131.684386
California,CD 45,Female,65 and Over,9/30/2021,482.7189596
California,CD 45,Female,Under 65,9/30/2021,2087.282539
California,CD 45,Male,65 and Over,9/30/2021,14089.12283
California,CD 45,Male,Under 65,9/30/2021,11738.10826
California,CD 46,Female,65 and Over,9/30/2021,254.0654514
California,CD 46,Female,Under 65,9/30/2021,768.3964049
California,CD 46,Male,65 and Over,9/30/2021,6735.452245
California,CD 46,Male,Under 65,9/30/2021,8121.001994
California,CD 47,Female,65 and Over,9/30/2021,605.2550637
California,CD 47,Female,Under 65,9/30/2021,2112.672115
California,CD 47,Male,65 and Over,9/30/2021,11771.73759
California,CD 47,Male,Under 65,9/30/2021,13028.59637
California,CD 48,Female,65 and Over,9/30/2021,807.0330264
California,CD 48,Female,Under 65,9/30/2021,1581.970252
California,CD 48,Male,65 and Over,9/30/2021,17757.64136
California,CD 48,Male,Under 65,9/30/2021,12204.19015
California,CD 49,Female,65 and Over,9/30/2021,908.8611383
California,CD 49,Female,Under 65,9/30/2021,5255.433895
California,CD 49,Male,65 and Over,9/30/2021,17799.61382
California,CD 49,Male,Under 65,9/30/2021,25712.44192
California,CD 5,Female,65 and Over,9/30/2021,916.8530869
California,CD 5,Female,Under 65,9/30/2021,2180.51523
California,CD 5,Male,65 and Over,9/30/2021,18707.29643
California,CD 5,Male,Under 65,9/30/2021,13868.66971
California,CD 50,Female,65 and Over,9/30/2021,1207.189122
California,CD 50,Female,Under 65,9/30/2021,5392.765636
California,CD 50,Male,65 and Over,9/30/2021,20527.77735
California,CD 50,Male,Under 65,9/30/2021,30744.97908
California,CD 51,Female,65 and Over,9/30/2021,461.7448412
California,CD 51,Female,Under 65,9/30/2021,4367.206112
California,CD 51,Male,65 and Over,9/30/2021,9948.325177
California,CD 51,Male,Under 65,9/30/2021,21249.29522
California,CD 52,Female,65 and Over,9/30/2021,1792.158943
California,CD 52,Female,Under 65,9/30/2021,5372.229
California,CD 52,Male,65 and Over,9/30/2021,19034.95756
California,CD 52,Male,Under 65,9/30/2021,30297.30305
California,CD 53,Female,65 and Over,9/30/2021,1575.988438
California,CD 53,Female,Under 65,9/30/2021,8555.469914
California,CD 53,Male,65 and Over,9/30/2021,17002.35512
California,CD 53,Male,Under 65,9/30/2021,38077.7517
California,CD 6,Female,65 and Over,9/30/2021,891.9529946
California,CD 6,Female,Under 65,9/30/2021,3627.306203
California,CD 6,Male,65 and Over,9/30/2021,13713.43226
California,CD 6,Male,Under 65,9/30/2021,16509.70753
California,CD 7,Female,65 and Over,9/30/2021,1531.921105
California,CD 7,Female,Under 65,9/30/2021,3699.065465
California,CD 7,Male,65 and Over,9/30/2021,20435.25139
California,CD 7,Male,Under 65,9/30/2021,19797.55288
California,CD 8,Female,65 and Over,9/30/2021,942.5140468
